Book title,Author,Description,Price
"[""Сліди на дорозі""]","[""Валерій Маркус (Ананьєв)""]","[""Справжня історія війни на Сході словами очевидця. \n\n Тематика видання \n Ветеранська література. \n\n Про книгу «Сліди на дорозі» Валерія Ананьєва \n «Сліди на дорозі» — це не лише книга. Це — унікальний досвід драматичних подій, які ви зможете пережити у якості очевидця. Це —  жива книга, яку можна не""]","[""350""]"
"[""Нацистська окупація України""]","[""Володимир Гінда""]","[""У книзі на основі архівних джерел та спогадів людей висвітлено майже невідомі досі сторінки історії України — період німецької окупації. У ній читач знайде унікальну інформацію про побут українців за нацистської влади, дізнається про тогочасний кримінальний світ, корупцію поміж чиновників та""]","[""376""]"
"[""Фактор Черчилля: Як одна людина змінила історію""]","[""Боріс Джонсон""]","[""Як Вінстон Черчилль формував світову політику. \n\n Тематика книжки \n Історія, біографії \n\n Про книгу «Фактор Черчилля: Як одна людина змінила історію» Боріса Джонсона \n Безсумнівно,  Вінстон Черчилль є одним з найвидатніших політичних діячів всіх часів . Саме його рішучі дії допомогли Великій""]","[""340""]"
"[""Справа Василя Стуса. Збірка документів з архіву колишнього КДБ УРСР""]","[""Вахтанг Кіпіані""]","[""Поет і Громадянин Василь Стус (1938–1985) не зміг побувати на презентації жодної зі своїх книжок. Бо в Україні його не друкували — збірки віршів ходили по руках у самвидавному вигляді, а публікували їх лише за кордоном. Участь у русі незгідних з русифікаторською й антиукраїнською""]","[""320""]"
"[""\""Я змішаю твою кров із вугіллям\"". Зрозуміти український Схід""]","[""Олександр Михед""]","[""#хочузрозумітисхід #щосьнасувається  \n\n Тематика \n Культурологія, публіцистика, художній репортаж. \n\n Про книжку \n Наприкінці 2016 року Олександр Михед вирушив у подорож шістьма містами\nДонецької та Луганської областей, досліджуючи тамтешнє життя, а також\nісторії, заховані в архівах. Проте""]","[""260""]"
"[""Велика президентка маленької країни. Історія Далі Грибаускайте""]","[""Дайва Ульбінайте""]","[""«Годі здригатися». Життєва філософія легендарної першої\nпрезидентки Литви. \n\n Тематика книги  \n\n Біографія, політика, міжнародні відносини, жіноче лідерство, мотивація. \n\n Опис книги \""Велика президентка маленької країни. Історія Далі Грибаускайте\"" Дайви Ульбінайте  \n\n Якщо Марґарет Тетчер""]","[""270""]"
"[""Збагнути Росію. Свідчення очевидців""]","[""Олександр Палій""]","[""ПРО ЩО КНИЖКА \""ЗБАГНУТИ РОСІЮ\"" \n Ця книга — зібрання свідчень очевидців, представників різних епох: послів, співробітників дипломатичних місій, офіцерів, купців — про країну, що нині зветься Росією. \n Цікаво, що російська цензура не хотіла таких свідчень. Російські переклади іноді""]","[""300""]"
"[""Останній командир УПА. Життя і боротьба Василя Кука""]","[""Аліна Понипаляк""]","[""«Останній командир УПА. Життя і боротьба Василя Кука» Аліни Понипаляк \n\n Тематика книги  \n\n Історія України, ХХ століття, національно-визвольна боротьба. \n\n Опис книги Останній командир УПА. Життя і боротьба Василя Кука  \n\n Є люди-епохи, а є люди — кілька епох. Такою особистістю був останній""]","[""230""]"
"[""СковороДАР. Життя, творчість, спадок""]","[""Назар Федорак""]","[""Унікальне ювілейне видання дозволить пересічному читачеві скласти, а знавцеві — поглибити цілісне уявлення про постать нашого видатного земляка, його життя, цінності та спадок.   Книга містить детальну хронологічну таблицю, ґрунтовний і пристрасний художній життєпис (автор — Назар Федорак),""]","[""551""]"
"[""Щоденник книгаря""]","[""Шон Байзелл""]","[""Кумедні мемуари, присвячені одному року роботи власника книгарні у маленькому містечку Шотландії. \n Тематика \n Мемуари, книжкова справа. \n Про книжку \n  «Щоденник книгаря»  описує рік із життя букіністичної книгарні в Шотландії. Перед нами постають безлюдні пагорби, кілометри""]","[""270""]"
"[""Як Україна втрачала Донбас""]","[""Денис Казанський, Марина Воротинцева""]","[""«Як Україна втрачала Донбас» – це новітня історія двох областей України, Донецької та Луганської. Це хронологія подій становлення потужних фінансово-політичних кланів на тлі економічної катастрофи краю, російської експансії та витоків сепаратизму. Книга про те, як могутні донбаські клани спочатку""]","[""350""]"
"[""Моє життя""]","[""Ґолда Меїр""]","[""Життєпис першої жінки — прем'єр-міністра Ізраїлю. \n\n Тематика книги  \n\n Біографія, політологія, історія, міжнародні відносини, жіноче лідерство, Ізраїль. \n\n Опис книги Книга \""Моє життя\"" Ґолди Меїр  \n\n\n «Моє життя» — автобіографія першої жінки - прем’єр-міністра Ізраїлю Ґолди\nМеїр. Це відверта""]","[""360""]"
"[""Війна 2022: щоденники, есеї, поезія""]",[],"[""Війна 2022: щоденники, есеї, поезія   24 лютого відбувся черговий акт російської агресії — повномасштабне вторгнення, що змінило життя не тільки України, а й усього світу. Війна принесла українцям багато горя, жаху, непоправних втрат, проте на тлі страшних випробувань укріпилися жага Перемоги та""]","[""380""]"
"[""Моє життя та робота""]","[""Генрі Форд""]","[""Тематика \n Менеджмент, історія автомобілебудування, гроші, великий бізнес. \n Про книгу \n Про Генрі Форда ще за його життя складали легенди, та й досі певні факти його біографії не є остаточно підтвердженими чи спростованими. Проте, незаперечним залишається те, що сенсом його життя була робота.""]","[""230""]"
"[""Та ви жартуєте, містере Фейнман! Пригоди допитливого дивака""]","[""Річард Фейнман""]","[""Неймовірно дотепні мемуари американського фізика Річарда Фейнмана, відомого популяризатора науки і лауреата Нобелівської премії. \n  ТЕМАТИКА \n Мемуари, фізика.\n  ПРО КНИЖКУ \n Фізика була сенсом життя видатного науковця й педагога, а кожна його лекція перетворювалася на захопливу гру. Утім""]","[""360""]"
"[""Тут клює. Відверті історії українського бізнесмена""]","[""Дмитро Томчук""]","[""ТЕМАТИКА  \n Бізнес \n  ПРО КНИЖКУ  \n Український бізнес — це не проста прогулянка. Він формувався у жорстких умовах: коли розвалювалися старі економічні зв’язки та створювалися нові. Тому й уроки, які він дає, — безжальні й унікальні. У цій книжці інвестор Дмитро Томчук""]","[""185""]"
"[""Велич і ницість. Історія про Черчилля, його родину та спротив під час Лондонського...""]","[""Ерік Ларсон""]","[""Одна з найкращих книжок року Time • Vogue • Fortune • Bloomberg \n Бестселер New York Times \n У США продано понад 9 мільйонів примірників \n  ТЕМАТИКА  \n Історія, біографії, політологія, біографія Черчилля, Друга світова війна. \n  ПРО КНИЖКУ \""ВЕЛИЧ І НИЦІСТЬ\""  \n Це історія про""]","[""480""]"
"[""Зелене світло""]","[""Метью Макконагі""]","[""Книга кінозірки й оскароносного актора Метью Макконагі очолила книжкові топи ще до свого виходу у світ. У ній він пропонує читачам ознайомитися з уроками, які дало йому життя, й переконатися, що справа — не в перемозі чи успіху, а в тому, як ви сприймаєте ці уроки. В основу книги лягли щоденникові""]","[""320""]"
"[""Пилип Орлик і мазепинці. Джерела""]",[],"[""До 350-річчя гетьмана Пилипа Орлика.   До збірки увійшло листування Пилипа Орлика та Івана Мазепи з тогочасними політичними та державними діячами Європи, яке розкриває обставини та зміст перемовин гетьмана Мазепи щодо формування європейської коаліції, спрямованої проти Москви, та низка інших""]","[""446""]"
"[""\""Цей день і є життям\"". Біографія Астрід Ліндґрен""]","[""Єнс Андерсен""]","[""Тематика книги \n Біографія, дитяча література, Астрід Ліндґрен \n Опис книги «\""Цей день і є життям\"". Біографія Астрід Ліндґрен» Єнса Андерсена \n Бунтарка, казкарка, дивачка, а ще — жінка з дивовижним серцем і вмінням співчувати. Такою була Астрід Ліндґрен. У 16 вона коротко""]","[""360""]"
"[""Холодний яр. За оригіналами 1934 - 1937 рр.""]","[""Юрій Горліс-Горський""]","[""Книга спогадів поручника армії УНР, осавула 1 куреня полку гайдамаків Холодного яру відносить нас в, тепер уже далекі, 1919-1921 рр. Щира правдива розповідь талановитого оповідача занурює нас у буремні роки становлення незалежності Української державності. Перейнятий наступними поколіннями дещо""]","[""430""]"
"[""Поля битв: боротьба за захист вільного світу""]","[""Герберт Макмастер""]","[""Від радника президента США з нацбезпеки  \n  З унікальною передмовою до українського видання  \n  За підтримки ГО «Реформація»  \n  ТЕМАТИКА  \n Війна, оборона, національна безпека, історія війн, мемуари. \n  ПРО КНИЖКУ \""ПОЛЯ БИТВ\""  \n «Хочеш миру — готуйся до війни».""]","[""440""]"
"[""Тім Кук. СЕО, що вивів Apple на новий рівень""]","[""Ліендер Кені""]","[""«Я ніколи не мав на меті бути Джобсом. Я знав, що можу бути лише собою, тому намагався бути найкращою версією себе»   \n\n Тематика \n Біографія, бізнес, технології.  \n\n Про що книга \n Після смерті Стіва Джобса більшість людей вважали, що Apple приречена. Однак компанія не просто втрималася на плаву,""]","[""275""]"
"[""Ван Гог. Жага до життя""]","[""Ірвінг Стоун""]","[""Біографія, від якої неможливо відірватись.  \n\n Тематика видання \n Біографія, мистецтво. \n\n Про що книга «Ван Гог. Жага до життя» Ірвінга Стоуна \n  Хто він, Ван Гог: безумець, що відрізав собі частину вуха, чи темпераментний\nгеній, який змінив наше бачення мистецтва?  Його життя було всіяне""]","[""270""]"
"[""Шалено, глибоко. Щоденники Алана Рікмана""]","[""Алан Рікман""]","[""Світовий бестселер \n  «Шалено, глибоко»  — це запрошення в закулісне життя Алана Рікмана, одного з найбільш харизматичних і улюблених акторів сучасності. \n Алан Рікман закріпився як актор світового рівня: від проривної ролі в «Міцному горішку» до багатогранної гри у""]","[""440""]"
"[""Менеджмент у стилі «Манчестер Юнайтед». Як стати чемпіоном""]","[""Майкл Моріц, Алекс Ферґюсон""]","[""ТЕМАТИКА  \n Менеджмент, футбол. \n   ПРО КНИЖКУ   \n Тренер Manchester United Алекс Ферґюсон — легендарна особистість у футбольному світі. Він присвятив команді 26 років, допоміг їй здобути надзвичайну кількість перемог, а його відставку назвали кінцем цілої ери. Ферґюсон переконаний: є""]","[""230""]"
"[""Друзі, коханки і велика халепа""]","[""Метью Перрі""]","[""«Привіт, мене звати Метью, хоча ви можете знати мене під іншим ім'ям. Друзі кличуть мене Меті. І я вже давно повинен бути мертвим». \n Так починається інтригуюча історія відомого актора Метью Перрі, який прославився роллю Чендлера Бінга у культовому серіалі «Друзі». Він""]","[""440""]"
"[""Ukraїner. Країна зсередини""]",[],"[""Мультимедійний проект про подорожі Україною у книжковому форматі. \n\n Тематика \n Подорожі, культура України, етнографія \n\n Про книгу  \n Книга «Ukraїner. Країна зсередини» — це підсумок дворічної експедиції, що охопила всі регіони України. Команда, інспірована Богданом Логвиненко, об'їздила всю""]","[""800""]"
"[""Олександр Довженко. Том 1""]","[""Юрій Шаповал""]","[""Ця книжка містить розповідь про незнаного Олександра Довженка (1894–1956). Учасник боротьби за незалежну Україну, згодом член партії «боротьбистів», а потім дипломат, художник, письменник і кінорежисер зі світовим ім’ям, він опинився під щільним багаторічним наглядом комуністичних спецслужб. Вони""]","[""601""]"
"[""Роздуми про двадцяте століття""]","[""Тімоті Снайдер, Тоні Джадт""]","[""«Ця книжка є історичною розвідкою, біографією та етичним трактатом» , — вважає один із її співавторів американський історик Тімоті Снайдер. У фокусі його розмов із Тоні Джадтом – «історія сучасних політичних ідей у Європі та Сполучених Штатах; влада і справедливість у""]","[""400""]"
"[""Олександр Довженко. Том 2""]","[""Юрій Шаповал""]","[""Ця книжка містить розповідь про незнаного Олександра Довженка (1894–1956). Учасник боротьби за незалежну Україну, згодом член партії «боротьбистів», а потім дипломат, художник, письменник і кінорежисер зі світовим ім’ям, він опинився під щільним багаторічним наглядом комуністичних спецслужб. Вони""]","[""701""]"
"[""Хіросіма""]","[""Джон Герсі""]","[""«Хіросіма»  — класика художнього репортажу та взірець американської журналістики ХХ століття. \n 6 серпня 1945 року вперше в історії людства застосовано ядерну зброю: американський бомбардувальник скинув атомну бомбу на японське місто Хіросіму. Понад 100 тисяч людей загинули,""]","[""300""]"
"[""Діалоги з совєтами""]","[""Станіслав Вінценз""]","[""Видатний польський письменник Станіслав Вінценз (1888–1971) мріяв усе життя провести в горах у селі Бистрець серед любих його серцю гуцулів, яких вивчав і описував. Проте в 1939 році совєтська окупація перекреслила ці плани: Вінценз потрапив до енкаведистської в’язниці. Письменник чудом врятувався""]","[""320""]"
"[""Український націоналізм. Том 2.  Ідеологія. Філософія""]",[],"[""До другого тому творів відомого ідеолога та Провідника ОУН, автора Декалогу українського націоналіста Степана Ленкавського ввійшли праці, що становлять ідеологічну та філософську частину його творчої спадщини. Вони широким спектром охоплюють вплив діяча на становлення світоглядних основ ОУН,""]","[""315""]"
"[""Жінка, яка має план. Життя, сповнене пригод, краси й успіху""]","[""Мей Маск""]","[""Мей Маск, вишуканій, чарівній і непосидючій супермоделі, уже за сімдесят. Її життя не завжди було таким простим і гламурним, як тепер. У тридцять один вона стала матір’юодиначкою, відтак тяжко працювала, щоб поставити на ноги дітей, Ілона, Кімбала й Тоску. А ще боролася із зайвою вагою, стала""]","[""250""]"
"[""Країна жіночого роду""]","[""Вахтанг Кіпіані""]","[""Видатні українки XX століття часто лишаються непомітними. Про долю деяких жінок цієї книжки хтось, можливо, почує вперше, однак їхню роль в українській історії не варто применшувати. Це лікарки, вчительки, учасниці національно-визвольного руху, політув’язнені, журналістки, культурні діячки Без них""]","[""220""]"
"[""Від учора. Світло в кінці операційної""]","[""Данило Сафронов""]","[""Тридцять вісім захопливих історій, що їх вистачило б на кілька сезонів популярного телешоу про будні лікарів.  Тридцять вісім епізодів з життя, де кожен персонаж і кожна ситуація так само неповторні й непрості, як і близькі нам усім. Операційні, морги, місця злочинів, кухні хрущівок, берег""]","[""350""]"
"[""Скоропадський. Спогади 1917-1918 (Український переклад)""]","[""Павло Скоропадський""]","[""Видання «Скоропадський. Спогади 1917-1918» підготувала група фахівців Інституту археографії Академії наук. Текст спогадів Гетьмана подано мовою оригіналу, з коментарями, ґрунтовною післямовою і анотованим покажчиком імен.\n\n  Тематика \n мемуари, історія України, політика, \n  Про книгу \n Йшов""]","[""330""]"
"[""Гемінґвей""]","[""Мері Дірборн""]","[""ТЕМАТИКА \n Біографія\n   ПРО КНИЖКУ   \n Ернест Гемінґвей, поза сумнівами, один із найвидатніших американських прозаїків. Він познайомив читачів з іншим Парижем, особливою Америкою, Африкою, Кубою. А головне — показав світ яскравішим, стихійнішим, пристраснішим та романтичнішим місцем. На кожному""]","[""300""]"
"[""Ода до України""]","[""Олександр Михед, Ірена Карпа, Катерина Бабкіна""]","[""Під час повномасштабної російсько-української війни, французький письменник Еммануель Рубен запросив українських колег — чотирнадцятьох авторів та авторок — розповісти про свою Україну. Про її міста й села, місця та краєвиди, простори та людей, які тут творили. Про речі, які є символічними для""]","[""350""]"
